"filename", "language", "C++", "comment", "blank", "total"
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_base.h", "C++", 0, -2, 0, -2
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_device.cpp", "C++", 1, 0, 0, 1
"Total", "-", 1, -2, 0, -1
