"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", -1, 0, 0, -1, -2
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 0, -5, 0, -1, -6
"Total", "-", -1, -5, 0, -2, -8
