"filename", "language", "C++", "comment", "blank", "total"
"d:\Projects\Thesis\src\app\application.cpp", "C++", 59, -2, 0, 57
"d:\Projects\Thesis\src\app\application.h", "C++", 1, 0, 0, 1
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 11, 0, 3, 14
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 101, 0, 8, 109
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 35, 0, 4, 39
"Total", "-", 207, -2, 15, 220
