"filename", "language", "C++", "comment", "blank", "total"
"d:\Projects\Thesis\src\app\application.cpp", "C++", 1, 0, 0, 1
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 11, -55, -9, -53
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 24, 2, 3, 29
"d:\Projects\Thesis\src\vk\vulkan_images.cpp", "C++", 92, 2, 18, 112
"d:\Projects\Thesis\src\vk\vulkan_model.cpp", "C++", 0, 1, 0, 1
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 17, 1, 2, 20
"Total", "-", 145, -49, 14, 110
