"filename", "language", "C++", "GLSL", "comment", "blank", "total"
"d:\Projects\Thesis\src\app\application.cpp", "C++", 27, 0, 1, 8, 36
"d:\Projects\Thesis\src\app\application.h", "C++", 1, 0, 0, 0, 1
"d:\Projects\Thesis\src\pch.h", "C++", 18, 0, 0, 2, 20
"d:\Projects\Thesis\src\vk\shaders\triangle.vert", "GLSL", 0, 5, 0, 1, 6
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 3, 0, 0, 2, 5
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 3, 0, 0, 0, 3
"d:\Projects\Thesis\src\vk\vulkan_descriptors.cpp", "C++", 41, 0, 0, 7, 48
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 1, 0, 0, 0, 1
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 1, 0, 0, 0, 1
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 75, 0, 1, 7, 83
"Total", "-", 170, 5, 2, 27, 204
