"filename", "language", "C++", "comment", "blank", "total"
"d:\dev\Thesis\src\ecs\ecs_base.hpp", "C++", 0, 1, 0, 1
"d:\dev\Thesis\src\main.cpp", "C++", -4, 4, 0, 0
"d:\dev\Thesis\src\vk\vulkan_base.h", "C++", 0, 1, 0, 1
"d:\dev\Thesis\src\vk\vulkan_device.cpp", "C++", 1, 0, 0, 1
"d:\dev\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 0, 2, 0, 2
"Total", "-", -3, 8, 0, 5
