"filename", "language", "C++", "comment", "blank", "total"
"d:\Projects\Thesis\src\app\application.cpp", "C++", 4, 0, 1, 5
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 3, 0, 0, 3
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 1, 0, 0, 1
"d:\Projects\Thesis\src\vk\vulkan_descriptors.cpp", "C++", 55, 1, 10, 66
"Total", "-", 63, 1, 11, 75
