"filename", "language", "C++", "comment", "blank", "total"
"d:\Projects\Thesis\src\app\application.cpp", "C++", 4, 0, 0, 4
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 15, 0, 0, 15
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 102, 0, 19, 121
"Total", "-", 121, 0, 19, 140
