"filename", "language", "C++", "comment", "blank", "total"
"d:\Projects\Thesis\src\app\application.cpp", "C++", 7, 0, 0, 7
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 3, 0, 0, 3
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 56, 0, 8, 64
"Total", "-", 66, 0, 8, 74
